               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10657,            0.034643,            0.017404,           0.0028488,              0.4254,           0.0025708,           0.0008187,            0.094816,            0.031387,            0.015919,            0.070248,           0.0033058,           0.0033058
                   1,            0.090488,            0.039133,             0.01651,            0.022918,             0.17181,            0.013463,           0.0048511,             0.07144,            0.035051,            0.020882,            0.040218,           0.0066092,           0.0066092
                   2,            0.070691,            0.035399,            0.015713,             0.14013,             0.30378,            0.096374,            0.028682,            0.073073,            0.042206,            0.015136,            0.010158,           0.0098827,           0.0098827
                   3,            0.053523,            0.027946,            0.015612,             0.37585,             0.43841,             0.26371,             0.12743,            0.047667,            0.028369,            0.015128,            0.009865,            0.009865,            0.009865
                   4,            0.044443,            0.024056,            0.015573,             0.47386,              0.7942,              0.4848,             0.28517,            0.031117,            0.018642,            0.015081,            0.009865,            0.009865,            0.009865
                   5,               0.039,            0.021511,            0.015565,              0.4896,             0.91669,             0.51997,             0.35342,            0.025141,            0.015572,            0.014934,             0.00982,             0.00982,             0.00982
                   6,            0.035346,            0.020496,            0.015553,             0.49309,             0.93092,             0.51903,             0.36678,            0.024484,            0.015764,            0.014939,            0.009775,            0.009775,            0.009775
                   7,            0.033759,            0.019711,            0.015522,             0.49581,             0.92362,             0.51355,             0.39163,            0.022148,             0.01411,            0.014995,             0.00973,             0.00973,             0.00973
                   8,            0.032285,            0.018993,            0.015532,             0.49596,             0.94577,             0.51542,             0.39133,            0.021292,             0.01302,            0.014975,            0.009685,            0.009685,            0.009685
                   9,            0.031013,              0.0184,            0.015513,             0.49584,             0.96644,             0.51983,              0.3925,            0.021219,            0.012853,            0.015052,             0.00964,             0.00964,             0.00964
                  10,            0.029514,            0.017768,            0.015534,             0.48884,             0.92007,             0.52741,              0.3865,            0.020943,            0.013968,             0.01507,            0.009595,            0.009595,            0.009595
                  11,            0.028642,            0.017414,            0.015512,             0.49222,              0.8727,             0.49309,             0.37177,            0.023488,            0.015633,            0.014915,             0.00955,             0.00955,             0.00955
                  12,            0.027611,            0.017128,            0.015489,             0.49693,             0.96482,             0.53916,             0.41236,            0.019592,            0.012035,            0.014987,            0.009505,            0.009505,            0.009505
                  13,            0.027155,            0.016627,            0.015488,             0.49856,             0.97091,             0.53097,             0.42092,            0.018511,             0.01163,            0.014997,             0.00946,             0.00946,             0.00946
